"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
46 "1" 9 "B" "b" "y" 1 1035 621 2 "adaptive" "001"
46 "1" 10 "t" "t" "y" 1 918 1356 2 "adaptive" "001"
46 "1" 11 "v" "b" "n" 1 836 1106 2 "adaptive" "001"
46 "1" 12 "t" "t" "y" 1 919 1320 2 "adaptive" "001"
46 "1" 13 "V" "v" "n" 0 1236 1156 2 "adaptive" "001"
46 "1" 14 "G" "t" "n" 1 969 1047 2 "adaptive" "001"
46 "1" 15 "G" "v" "y" 0 852 1301 2 "adaptive" "001"
46 "1" 16 "t" "g" "n" 1 1101 997 2 "adaptive" "001"
46 "1" 17 "b" "g" "n" 1 802 1047 2 "adaptive" "001"
46 "1" 18 "B" "t" "y" 0 885 1335 2 "adaptive" "001"
46 "1" 19 "G" "b" "n" 1 885 835 2 "adaptive" "001"
46 "1" 20 "T" "b" "n" 1 869 1270 2 "adaptive" "001"
46 "2" 1 "v" NA "n" 1 1302 732 1 "adaptive" "001"
46 "2" 2 "T" "v" "n" 1 819 1291 1 "adaptive" "001"
46 "2" 3 "g" "t" "n" 1 519 1330 1 "adaptive" "001"
46 "2" 4 "V" "g" "n" 1 819 1203 1 "adaptive" "001"
46 "2" 5 "t" "v" "n" 1 735 1210 1 "adaptive" "001"
46 "2" 6 "v" "t" "n" 1 535 1428 1 "adaptive" "001"
46 "2" 7 "V" "v" "y" 1 652 730 1 "adaptive" "001"
46 "2" 8 "g" "v" "n" 1 702 1112 1 "adaptive" "001"
46 "2" 9 "G" "g" "y" 1 502 1104 1 "adaptive" "001"
46 "2" 10 "B" "g" "n" 1 719 704 1 "adaptive" "001"
46 "2" 11 "G" "b" "n" 1 903 1321 1 "adaptive" "001"
46 "2" 12 "v" "g" "n" 1 502 1165 1 "adaptive" "001"
46 "2" 13 "t" "v" "n" 1 718 820 1 "adaptive" "001"
46 "2" 14 "T" "t" "y" 1 451 503 1 "adaptive" "001"
46 "2" 15 "G" "t" "n" 1 769 804 1 "adaptive" "001"
46 "2" 16 "G" "g" "n" 0 435 1078 1 "adaptive" "001"
46 "2" 17 "v" "g" "n" 1 701 937 1 "adaptive" "001"
46 "2" 18 "t" "v" "n" 1 685 1015 1 "adaptive" "001"
46 "2" 19 "b" "t" "n" 1 852 594 1 "adaptive" "001"
46 "2" 20 "B" "b" "y" 1 702 1085 1 "adaptive" "001"
46 "3" 1 "t" NA "n" 1 1236 1334 2 "adaptive" "001"
46 "3" 2 "g" NA "n" 1 1237 954 2 "adaptive" "001"
46 "3" 3 "G" "t" "n" 1 1002 1049 2 "adaptive" "001"
46 "3" 4 "v" "g" "n" 1 1069 1178 2 "adaptive" "001"
46 "3" 5 "b" "g" "n" 1 969 1081 2 "adaptive" "001"
46 "3" 6 "b" "v" "y" 0 969 557 2 "adaptive" "001"
46 "3" 7 "G" "b" "n" 1 1036 1038 2 "adaptive" "001"
46 "3" 8 "T" "b" "y" 0 635 738 2 "adaptive" "001"
